                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79592,                 1.3851,                 1.3272,                0.65548,                0.56075,                0.64819,                0.51001,                0.82598,                 1.4103,                 1.3335,             0.00036717,             0.00036717,             0.00036717
                      2,                0.78441,                 1.3212,                 1.3113,                0.65409,                0.65621,                0.69264,                0.54932,                0.82927,                 1.3394,                 1.3176,             0.00073263,             0.00073263,             0.00073263
                      3,                0.77903,                 1.3232,                 1.3089,                0.58449,                  0.548,                0.55977,                0.42342,                0.90764,                 1.6297,                 1.4197,              0.0010932,              0.0010932,              0.0010932
                      4,                0.77754,                 1.3938,                 1.2979,                0.47963,                0.58668,                 0.5311,                0.39441,                0.97815,                 1.7221,                 1.5026,               0.001089,               0.001089,               0.001089
                      5,                0.78719,                  1.324,                  1.314,                0.67062,                0.62166,                0.68024,                0.51236,                0.92546,                 1.3312,                  1.407,               0.001089,               0.001089,               0.001089
                      6,                0.76338,                 1.2815,                 1.2936,                 0.5635,                0.63322,                0.59403,                0.43015,                 0.8914,                 1.4751,                 1.3675,              0.0010817,              0.0010817,              0.0010817
                      7,                0.76244,                 1.2446,                 1.2956,                 0.6043,                0.63582,                0.65568,                0.49982,                 0.8893,                 1.3697,                 1.3687,              0.0010743,              0.0010743,              0.0010743
                      8,                0.76762,                 1.2334,                  1.294,                0.59707,                0.60947,                0.66929,                0.50804,                 0.9606,                 1.4142,                 1.4367,               0.001067,               0.001067,               0.001067
                      9,                0.74892,                  1.197,                 1.2844,                0.63029,                0.66169,                0.68998,                0.53051,                0.86545,                 1.2889,                 1.3735,              0.0010597,              0.0010597,              0.0010597
                     10,                0.74423,                 1.1617,                 1.2909,                 0.6284,                0.59209,                0.65343,                0.50044,                0.91324,                 1.3218,                 1.4186,              0.0010523,              0.0010523,              0.0010523
                     11,                 0.7484,                  1.188,                 1.2891,                0.75853,                0.67701,                 0.7515,                0.59885,                0.78726,                 1.1091,                 1.2927,               0.001045,               0.001045,               0.001045
                     12,                 0.7258,                 1.1279,                 1.2633,                0.64967,                0.65452,                0.70496,                0.51821,                0.91837,                 1.2235,                 1.4114,              0.0010377,              0.0010377,              0.0010377
                     13,                0.73071,                  1.106,                 1.2775,                0.70264,                0.70787,                0.76369,                 0.6201,                0.76565,                 1.1052,                 1.2469,              0.0010303,              0.0010303,              0.0010303
                     14,                0.70152,                 1.0714,                 1.2593,                0.64847,                0.67641,                0.73647,                  0.589,                0.76704,                 1.2203,                 1.2564,               0.001023,               0.001023,               0.001023
                     15,                 0.7218,                 1.1017,                 1.2804,                 0.6685,                0.60914,                0.72823,                 0.5516,                 0.9023,                 1.2717,                 1.3889,              0.0010157,              0.0010157,              0.0010157
                     16,                0.71395,                 1.0751,                 1.2535,                0.70291,                0.70775,                0.73236,                0.59737,                0.77844,                 1.1545,                 1.2714,              0.0010083,              0.0010083,              0.0010083
                     17,                0.67061,                 1.0533,                 1.2292,                0.67142,                0.72048,                0.76882,                0.62065,                0.77268,                 1.1051,                 1.2412,               0.001001,               0.001001,               0.001001
                     18,                0.69263,                 1.0488,                 1.2369,                0.50835,                0.52675,                0.50617,                0.29857,                 1.5317,                 2.2513,                 2.6146,             0.00099368,             0.00099368,             0.00099368
                     19,                0.67716,                0.99918,                 1.2308,                0.68273,                0.69671,                0.75979,                0.59342,                 0.8302,                 1.1582,                 1.3274,             0.00098635,             0.00098635,             0.00098635
                     20,                0.65817,                 1.0034,                 1.2196,                0.67921,                0.71164,                0.72699,                0.58429,                 0.7401,                 1.1168,                  1.232,             0.00097901,             0.00097901,             0.00097901
                     21,                 0.6766,                 1.0177,                 1.2488,                0.75791,                0.73717,                 0.7908,                0.64145,                0.76617,                 1.0137,                 1.2479,             0.00097168,             0.00097168,             0.00097168
                     22,                0.67668,                  1.012,                 1.2353,                0.74652,                0.69822,                0.75765,                0.60788,                0.78833,                 1.0899,                 1.2581,             0.00096435,             0.00096435,             0.00096435
                     23,                0.66921,                0.96048,                 1.2179,                 0.7428,                0.69516,                0.77285,                0.62937,                0.72989,                 1.1012,                 1.2157,             0.00095702,             0.00095702,             0.00095702
                     24,                0.64847,                0.92238,                 1.2108,                0.69128,                0.77004,                0.78323,                0.64252,                0.73882,                 1.0569,                 1.2073,             0.00094968,             0.00094968,             0.00094968
                     25,                0.66893,                0.97956,                 1.2226,                0.76642,                  0.669,                0.78579,                0.63934,                0.74462,                 1.0447,                 1.2223,             0.00094235,             0.00094235,             0.00094235
                     26,                0.63956,                0.93686,                 1.2103,                0.76089,                0.72297,                0.81159,                0.66873,                0.71702,                0.94866,                 1.2004,             0.00093502,             0.00093502,             0.00093502
                     27,                0.62704,                0.91754,                 1.1976,                 0.7817,                0.73933,                0.80547,                 0.6609,                 0.7595,                0.94353,                 1.2112,             0.00092769,             0.00092769,             0.00092769
                     28,                0.61319,                0.88717,                 1.1893,                0.78738,                0.69183,                0.79251,                0.66641,                0.70349,                0.97732,                 1.1568,             0.00092035,             0.00092035,             0.00092035
                     29,                0.63873,                0.90184,                 1.2013,                0.80216,                0.76956,                0.81533,                0.67506,                0.72686,                0.90398,                  1.207,             0.00091302,             0.00091302,             0.00091302
                     30,                0.63444,                0.89672,                 1.2104,                0.74879,                0.77522,                 0.8041,                0.65037,                 0.7508,                0.93526,                 1.2114,             0.00090569,             0.00090569,             0.00090569
                     31,                0.66158,                0.89186,                 1.2236,                0.72433,                0.74626,                0.79818,                0.66463,                0.69289,                0.92692,                 1.1622,             0.00089835,             0.00089835,             0.00089835
                     32,                0.63964,                0.85175,                 1.2039,                0.79038,                0.73665,                0.80562,                0.64322,                0.80371,                  1.005,                 1.2711,             0.00089102,             0.00089102,             0.00089102
                     33,                0.62216,                0.86637,                 1.1894,                0.77642,                 0.7015,                 0.7996,                0.65949,                0.72098,                0.98685,                  1.207,             0.00088369,             0.00088369,             0.00088369
                     34,                 0.6233,                0.89638,                 1.1862,                0.77368,                0.73247,                0.81071,                0.66699,                0.73799,                0.91004,                 1.2109,             0.00087636,             0.00087636,             0.00087636
