                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79592,                 1.3851,                 1.3272,                0.65548,                0.56075,                0.64819,                0.51001,                0.82598,                 1.4103,                 1.3335,             0.00036717,             0.00036717,             0.00036717
                      2,                0.78464,                 1.3114,                 1.3123,                0.67868,                0.59342,                0.68936,                0.54939,                0.82142,                 1.4343,                 1.3088,              0.0007229,              0.0007229,              0.0007229
                      3,                0.78971,                 1.3339,                 1.3155,                 0.4785,                0.59922,                0.54745,                0.40212,                0.91938,                 1.7088,                 1.4484,               0.001064,               0.001064,               0.001064
                      4,                0.77387,                 1.3773,                 1.2953,                0.64747,                0.60232,                0.64019,                0.49168,                0.85278,                  1.404,                 1.3485,               0.001045,               0.001045,               0.001045
                      5,                0.76122,                 1.2948,                 1.2994,                0.53401,                0.57937,                0.61777,                0.43031,                 1.1564,                 1.9399,                 1.7096,               0.001045,               0.001045,               0.001045
                      6,                0.76728,                 1.2763,                  1.308,                0.65831,                0.59045,                0.65463,                0.47121,                0.97533,                 1.4214,                 1.4436,               0.001023,               0.001023,               0.001023
                      7,                0.75759,                 1.2214,                 1.2909,                0.59844,                0.69267,                0.71035,                0.56143,                0.84794,                 1.2288,                 1.3525,               0.001001,               0.001001,               0.001001
                      8,                0.75126,                 1.2213,                 1.2905,                0.64198,                0.64879,                0.70462,                0.55367,                0.84649,                  1.311,                 1.3208,             0.00097901,             0.00097901,             0.00097901
                      9,                0.72068,                 1.1796,                 1.2621,                0.66812,                0.66161,                0.72226,                0.56697,                0.84063,                 1.2452,                 1.3142,             0.00095702,             0.00095702,             0.00095702
                     10,                0.71321,                 1.1377,                 1.2737,                0.67309,                0.64656,                0.72739,                 0.5679,                0.85199,                 1.3002,                 1.3241,             0.00093502,             0.00093502,             0.00093502
                     11,                0.71791,                 1.1375,                 1.2747,                0.73855,                0.66627,                0.74485,                0.60074,                  0.777,                 1.1228,                 1.2748,             0.00091302,             0.00091302,             0.00091302
                     12,                0.69731,                 1.1208,                 1.2489,                0.63568,                0.65207,                0.69155,                0.52667,                0.88752,                 1.2723,                 1.3635,             0.00089102,             0.00089102,             0.00089102
                     13,                0.71068,                 1.0742,                 1.2646,                 0.7136,                0.75502,                0.78282,                0.64071,                0.77251,                 1.0412,                 1.2648,             0.00086902,             0.00086902,             0.00086902
                     14,                0.70383,                 1.0311,                 1.2585,                0.55094,                0.64915,                0.63153,                 0.5103,                0.78123,                 1.4559,                   1.27,             0.00084703,             0.00084703,             0.00084703
                     15,                0.70856,                 1.0646,                 1.2659,                0.72984,                0.68857,                0.76927,                0.62214,                0.78823,                 1.0669,                 1.2567,             0.00082503,             0.00082503,             0.00082503
                     16,                0.71094,                 1.0332,                 1.2504,                0.79076,                0.74325,                0.79108,                0.63708,                0.79253,                 1.0038,                 1.2876,             0.00080303,             0.00080303,             0.00080303
                     17,                0.65529,                 1.0193,                 1.2177,                0.75768,                0.74339,                 0.7963,                0.65064,                0.71544,                0.96051,                 1.2011,             0.00078103,             0.00078103,             0.00078103
                     18,                0.66846,                0.98334,                 1.2266,                0.62111,                0.63056,                0.67809,                0.56311,                0.73631,                  1.465,                 1.2118,             0.00075904,             0.00075904,             0.00075904
                     19,                0.65648,                0.95808,                 1.2169,                0.72246,                0.73462,                0.78161,                0.63199,                0.75315,                 1.0396,                 1.2386,             0.00073704,             0.00073704,             0.00073704
                     20,                0.63946,                0.97052,                 1.2044,                0.75795,                 0.7283,                0.78602,                0.63657,                0.75012,                0.99811,                 1.2259,             0.00071504,             0.00071504,             0.00071504
                     21,                0.64856,                0.95942,                 1.2248,                0.69062,                0.68426,                0.75219,                 0.5943,                0.81858,                 1.1089,                 1.3115,             0.00069304,             0.00069304,             0.00069304
                     22,                0.64825,                0.96245,                 1.2126,                 0.7468,                0.70492,                0.78868,                0.64643,                0.74891,                0.99916,                 1.2232,             0.00067104,             0.00067104,             0.00067104
                     23,                 0.6326,                0.91217,                 1.1941,                0.77033,                0.73981,                0.80082,                0.65924,                0.71711,                0.93026,                 1.2058,             0.00064905,             0.00064905,             0.00064905
                     24,                0.61822,                 0.8752,                 1.1909,                0.78018,                0.74457,                0.80165,                0.65555,                0.74245,                0.96416,                 1.2007,             0.00062705,             0.00062705,             0.00062705
                     25,                0.63207,                0.90381,                 1.1967,                0.77353,                0.78708,                0.81902,                0.68241,                0.71425,                0.90233,                 1.1932,             0.00060505,             0.00060505,             0.00060505
                     26,                0.61193,                0.84906,                  1.188,                0.81274,                0.69444,                0.80577,                 0.6518,                0.72299,                 1.0151,                 1.1894,             0.00058305,             0.00058305,             0.00058305
                     27,                0.60473,                0.84534,                 1.1826,                0.82041,                0.76055,                0.82703,                0.68847,                0.72557,                0.89054,                 1.1922,             0.00056105,             0.00056105,             0.00056105
                     28,                0.58652,                0.81062,                 1.1718,                0.74062,                0.76979,                 0.8086,                0.68953,                0.64974,                0.92451,                 1.1178,             0.00053906,             0.00053906,             0.00053906
                     29,                0.59793,                0.80967,                 1.1781,                0.76586,                  0.779,                0.82836,                0.70245,                0.68805,                0.85426,                 1.1829,             0.00051706,             0.00051706,             0.00051706
                     30,                0.58838,                0.81182,                 1.1863,                0.78231,                0.79036,                0.82954,                0.69434,                0.67822,                0.85156,                 1.1606,             0.00049506,             0.00049506,             0.00049506
